2026-02-21 18:54:37,262 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1150 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:37,367 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1200 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:37,470 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1250 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:37,575 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1300 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:37,680 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1350 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:37,785 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1400 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:37,887 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1450 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:37,992 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1500 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:38,095 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1550 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:38,196 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1600 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:38,298 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1650 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
